angle,singles,coincidences
0.0,1228.0,15
9.0,2778.0,303
18.0,7430.0,1335
27.0,13645.0,2662
36.0,18553.0,3757
45.0,20989.0,4412
54.0,19997.0,4120
63.0,15472.0,3057
72.0,9598.0,1777
81.0,3951.0,591
90.0,1384.0,14
99.0,2706.0,296
108.0,7861.0,1376
117.0,13620.0,2685
126.0,18869.0,3776
135.0,21004.0,4460
144.0,19826.0,4164
153.0,15328.0,3094
162.0,9699.0,1715
171.0,4130.0,567
180.0,1219.0,18
-3.534602983086046,1294.0,26
-2.534602983086046,1794.0,89
-1.534602983086046,1539.0,57
-0.5346029830860459,1394.0,26
0.4653970169139541,1134.0,12
1.465397016913954,1283.0,1
2.465397016913954,1238.0,8
3.465397016913954,1290.0,28
4.465397016913954,1409.0,38
5.465397016913954,1728.0,87
6.465397016913954,1901.0,136
41.465397016913954,20261.0,4159
43.13206368358062,20676.0,4248
44.79873035024729,21005.0,4368
46.465397016913954,20566.0,4280
48.13206368358062,20873.0,4394
49.79873035024729,20620.0,4215
51.465397016913954,20325.0,4170
